Car Make,Car Model,Dealer or Individual?,Price,Year,Location,Mileage,Doors,Color,VIN#,Engine,Description,Web Link
Honda,Accord,Dealer,"$24,149",2020,"Boardman, OH",37091,4,Platinum White Pearl,1HGCV1F10LA065936,192 hp 1.5L I4,"2020 Accord Honda LX Platinum White Pearl 1.5T I4 DOHC 16V Turbocharged VTEC FWD One Owner, Alloy wheels, Automatic temperature control, Exterior Parking Camera Rear, Forward collision: Collision Mitigation Braking System (CMBS) + FCWtigation, Front dual zone A/C, Power doorrrors, Remote keyless entry, Steering wheel mounted audio controls. KBB Fair Market Range High: $26,074 CARFAX One-Owner. Clean CARFAX. Recent Arrival! 30/38 City/Highway MPG Call the Internet Team at the Preston Mazda at 877-418-1749 right away!!!",https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=15213&showNegotiable=true&sortDir=ASC&sourceContext=cvd&distance=100&sortType=DEAL_RATING_RPL&entitySelectingHelper.selectedEntity=d585#listing=352008483/PRIORITY
Honda,Accord,Dealer,"$11,398",2014,"Pittsburgh, PA",125859,4,Champagne Frost Pearl,1HGCR2F30EA146434,185 hp 2.4L I4,"COCHRAN LOT 1 - 1 Month/1,000 Miles Warranty, Ivory w/Cloth Seat Trim, 16"" Alloy Wheels, 160-Watt AM/FM/CD Audio System, 4 Speakers, 4-Wheel Disc Brakes, ABS brakes, Air Conditioning, Alloy wheels, AM/FM radio, Automatic temperature control, Brake assist, CD player, Cloth Seat Trim, Delay-off headlights, Dual front impact airbags, Dual front side impact airbags, Electronic Stability Control, Four wheel independent suspension, Front anti-roll bar, Front dual zone A/C, Fully automatic Halogen headlights, Low tire pressure warning, MP3 decoder, Occupant sensing airbag, Overhead airbag, Panic alarm, Power steering, Power windows, Radio data system, Rear anti-roll bar, Rear window defroster, Remote keyless entry, Security system, Speed control, Speed-sensing steering, Steering wheel mounted audio controls, Traction control. 27/36 City/Highway MPG KBB Fair Market Range High: $13,556 KBB Fair Market Range Low: $11,737 Awards: * 2014 IIHS Top Safety Pick+ * Green Car Journal 2014 Green Car of the Year * 2014 KBB.com Brand Image Awards Kelley Blue Book Brand Image Awards are based on the Brand Watch(tm) study from Kelley Blue Book Market Intelligence. Award calculated among non-luxury shoppers. For more information, visit www.kbb.com. Kelley Blue Book is a registered trademark of Kelley Blue Book Co., Inc. Based on 2017 EPAleage ratings. Use for comparison purposes only. Yourleage will vary depending on how you drive and maintain your vehicle, driving conditions and other factors.",https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=15213&showNegotiable=true&sortDir=ASC&sourceContext=cvd&distance=100&sortType=DEAL_RATING_RPL&entitySelectingHelper.selectedEntity=d585#listing=349657193/NONE
Honda,Accord,Dealer,"$12,500",2013,"Youngston, OH",113621,4,Brown (TAN),1HGCR3F86DA023091,278 hp 3.5L V6,"V6 PZEV 3.5 Liter,Automatic CVT,FWD,LaneWatch,Traction Control,Stability Control,ABS (4-Wheel),Alarm System,Keyless Entry,Air Conditioning,Power Windows,Power Door Locks,Cruise Control,Power Steering,Tilt & Telescoping Wheel,AM/FM Stereo,CD/MP3 (Single Disc),Premium Sound,XM Satellite,Bluetooth Wireless,Backup Camera,Dual Air Bags,Side Air Bags,F&R Head Curtain Air Bags,Heated Seats,Dual Power Seats,Moon Roof,Daytime Running Lights,Alloy Wheels,",https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=15213&showNegotiable=true&sortDir=ASC&sourceContext=cvd&distance=100&sortType=DEAL_RATING_RPL&entitySelectingHelper.selectedEntity=d585#listing=348983191/NONE
Honda,Accord,Dealer,"$24,433",2019,"Renton, WA",57432,4,Red,1HGCV1F17KA004999,1.5T I-4 DOHC 16-Valve Turbocharged VTEC,The principal prior use of this vehicle was as a Rental Vehicle.,https://www.enterprisecarsales.com/vehicle/1HGCV1F17KA004999/Used--2019--Honda--Accord_Sedan--Renton--WA/
Honda,Accord,Dealer,"$22,497",2016,"Allentown, PA",33029,4,White,1HGCR2F87GA007402,2.4L 16-Valve DOHC i-VTEC I-4,"Price includes all costs to be paid by a consumer, except for licensing costs, registration fees, and taxes; also not included are title registration, tag, governmental fees, electronic filing charges (excluding CO), any emissions testing and/or state inspection fees, transfer fee, and any finance charges (if applicable). Price does not include processing, administrative, dealer conveyance fee, closing, dealer and handling, or similar fees of $399 or less, except in the following states where the advertised price is inclusive of this fee: CO, GA, FL, IA, IN, KY, MA, NE, NH, NJ, SC, and TN. In WA state, a documentary service fee in an amount up to $150 may be added to the purchase price or capitalized cost. Vehicles subject to prior sale. We make every effort to provide accurate information including but not limited to price, and vehicle options, but please verify with your local Enterprise Car Sales location before purchasing. Currentleage may vary due to test drives and vehicle relocation. Used vehicles were previously part of Enterprise short-term rental and/or lease fleet or purchased by Enterprise from other sources including auto auctions, with previous use possibly short-term rental, lease or other.",https://www.enterprisecarsales.com/vehicle/1HGCR2F87GA007402/Used--2016--Honda--Accord_Sedan--Allentown--PA/
Honda,Accord,Dealer,"$28,429",2021,"Olathe, KS",21271,4,Gray,1HGCV1F1XMA067842,1.5T I-4 DOHC 16-Valve Turbocharged VTEC,"Price includes all costs to be paid by a consumer, except for licensing costs, registration fees, and taxes; also not included are title registration, tag, governmental fees, electronic filing charges (excluding CO), any emissions testing and/or state inspection fees, transfer fee, and any finance charges (if applicable). Price does not include processing, administrative, dealer conveyance fee, closing, dealer and handling, or similar fees of $399 or less, except in the following states where the advertised price is inclusive of this fee: CO, GA, FL, IA, IN, KY, MA, NE, NH, NJ, SC, and TN. In WA state, a documentary service fee in an amount up to $150 may be added to the purchase price or capitalized cost. Vehicles subject to prior sale. We make every effort to provide accurate information including but not limited to price, and vehicle options, but please verify with your local Enterprise Car Sales location before purchasing. Currentleage may vary due to test drives and vehicle relocation. Used vehicles were previously part of Enterprise short-term rental and/or lease fleet or purchased by Enterprise from other sources including auto auctions, with previous use possibly short-term rental, lease or other.",https://www.enterprisecarsales.com/vehicle/1HGCV1F1XMA067842/Used--2021--Honda--Accord_Sedan--Olathe--KS/
Honda,Accord,Dealer,$30000,2019,"Spokane, WA",27335,4,White,1HGCV2F9XKA015989,4 Cyl,"Platinum White Pearl 2019 Honda Accord Touring 2.0T FWD 10-Speed Automatic I4 DOHC 16V Turbocharged Black Leather.  Recent Arrival! Odometer is 12690 below market average! 22/32 City/Highway MPG  Awards: * JD Power Automotive Performance, Execution and Layout (APEAL) Study * ALG Residual Value Awards, Residual Value Awards",https://www.carfax.com/vehicle/1HGCV2F9XKA015989
Honda,Accord,Dealer,"$28,900",2020,"Near Yakima, WA",21973,4,Grey,1HGCV2F56LA014417,4 Cyl,"Only 21,973 Miles! Scores 34 Highway MPG and 23 City MPG! This Honda Accord Sedan delivers a Intercooled Turbo Regular Unleaded I-4 2.0 L/122 engine powering this Automatic transmission. Wheels: 17"" Machine-Finished Alloy, VSA Electronic Stability Control (ESC), Valet Function.* This Honda Accord Sedan Features the Following Options *Trunk Rear Cargo Access, Trip Computer, Transmission: 10-Speed Automatic -inc: shift-by-wire (SBW) and paddle shifters, Transmission w/Driver Selectable Mode, Tires: 225/50R17 AS, Systems Monitor, Strut Front Suspension w/Coil Springs, Steel Spare Wheel, Speed Sensitive Variable Intermittent Wipers, Side Impact Beams.* Stop By Today *Stop by Hyundai of Yakima located at 3204 Fruitvale Blvd, Yakima, WA 98902 for a quick visit and a great vehicle!",https://www.carfax.com/vehicle/1HGCV2F56LA014417
Honda,Accord,Dealer,$22989,2019,"Near Inver Grove Heights, MN",18431,4,Grey,1HGCV1F19KA151020 ·,4 Cyl,"Thank you for visiting the twin cities newest Honda dealer Inver Grove Honda. Inver Grove Honda is located 10nutes east of the Mall of America just off interstate 494 and South Robert Trail. Clean CARFAX. Certified. Lunar Silver Metallic 2019 Honda Accord LX FWD CVT 1.5T I4 DOHC 16V Turbocharged VTEC Gray w/Cloth Seat Trim.   Odometer is 11886 below market average! 30/38 City/Highway MPG Certification Program Details: Honda True Certified Pre-Owned Details: * Limited Warranty: 12 Month/12,000 Mile (whichever comes first) after new car warranty expires or from certified purchase date * Transferable Warranty * Warranty Deductible: $0 * Powertrain Limited Warranty: 84 Month/100,000 Mile (whichever comes first) from original in-service date * 5 complimentary oil changes (Thanks to Inver Grove Honda’s Courtesy Care) * Vehicle History Reports * 182 Point Inspection Interactive Certification Process * Roadside Assistance for the duration of the Certified Pre-Owned Limited Warranty * Complimentary loaner cars Awards: * JD Power Automotive Performance, Execution and Layout (APEAL) Study * ALG Residual Value Awards, Residual Value Awards Call us at 651-306-8600 or come visit Inver Grove Honda conveniently located at 4605 South Robert Trail, Inver Grove Heights, MN 55077. You may also visit us at www.InverGroveHonda.com 24/7. Your local President's Award winning dealership!",https://www.carfax.com/vehicle/1HGCV1F19KA151020
Honda,Accord,Dealer,"$26,111",2020,"Near Cleveland, OH",20411,4,Gold,1HGCV1F42LA067505,4 Cyl,"2020 Honda Accord EX CARFAX One-Owner. Clean CARFAX. Certified. Odometer is 2944 below market average!  This pristine condition 2020 Honda Accord EX in Gold is nicely equipped with the following features HondaTrue Certified Certified, Cloth, 17"" Machine-Finished Alloy Wheels, 4-Wheel Disc Brakes, 8 Speakers, ABS brakes, Adaptive Cruise Control: Adaptive Cruise Control (ACC) with Low-Speed Follow, Air Conditioning, Alloy wheels, AM/FM radio: SiriusXM, Apple CarPlay/Android Auto, Auto High-beam Headlights, Automatic temperature control, Brake assist, Bumpers: body-color, Cloth Seat Trim, Delay-off headlights, Driver door bin, Driver vanityrror, Dual front impact airbags, Dual front side impact airbags, Electronic Stability Control, Emergency communication system: HondaLink, Exterior Parking Camera Rear, Forward collision: Collision Mitigation Braking System (CMBS) + FCWtigation, Four wheel independent suspension, Front anti-roll bar, Front Bucket Seats, Front Center Armrest, Front dual zone A/C, Front fog lights, Front reading lights, Fully automatic headlights, Heated doorrrors, Heated Front Bucket Seats, Heated front seats, Illuminated entry, Knee airbag, Low tire pressure warning, Occupant sensing airbag, Outside temperature display, Overhead airbag, Overhead console, Panic alarm, Passenger door bin, Passenger vanityrror, Power doorrrors, Power driver seat, Power moonroof, Power steering, Power windows, Radio data system, Radio: 180-Watt AM/FM/HD/SiriusXM Audio System, Rear anti-roll bar, Rear seat center armrest, Rear window defroster, Remote keyless entry, Security system, Speed control, Speed-sensing steering, Speed-Sensitive Wipers, Split folding rear seat, Steering wheel mounted audio controls, Tachometer, Telescoping steering wheel, Tilt steering wheel, Traction control, Trip computer, and Variably intermittent wipers. Cloth.  Priced below KBB Fair Purchase Price!  HondaTrue Certified Details:  * Roadside Assistance * Transferable Warranty * Powertrain Limited Warranty: 84 Month/100,000 Mile (whichever comes first) from original in-service date * Limited Warranty: 12 Month/12,000 Mile (whichever comes first) after new car warranty expires or from certified purchase date * Warranty Deductible: $0 * Vehicles purchased within New Vehicle Limited Warranty period: extends New Vehicle Limited Warranty to 4 years*/48,000*. Honda Care Motor Club Partner for 1 year/12,000. Up to two complimentary oil changes within the first year of ownership. SiriusXM 90-Day Trial * Vehicle History * 182 Point Inspection   Thank you for shopping Spitzer Honda. We are located in Euclid, OH and serve all of the Cleveland area and northeast Ohio. FREE car washes anytime!! Come see us at I-90 and East 200th Street,nutes from anywhere in Northeast Ohio. At Spitzer Honda Our world revolves around you. Awards: * ALG Residual Value Awards, Residual Value Awards",https://www.carfax.com/vehicle/1HGCV1F42LA067505
